,Ni
48149,"[47271, 47272, 47273, 47565, 47566, 47568, 47569, 47861, 47862, 47865, 48146, 48147, 48148, 48149, 48152, 48430, 48431, 48432, 48433, 48434, 48436, 48714, 48715, 48716, 48997]"
39059,"[38505, 38506, 38509, 38775, 38777, 38779, 38780, 39056, 39057, 39058, 39059, 39060, 39061, 39062, 39339, 39340, 39341, 39342, 39345, 39624, 39625, 39626, 39909]"
21498,"[20767, 20768, 20769, 21012, 21013, 21253, 21254, 21255, 21258, 21259, 21497, 21741, 21981]"
52386,"[51564, 51565, 51840, 51841, 51842, 51844, 52113, 52116, 52117, 52119, 52383, 52384, 52385, 52386, 52387, 52388, 52389, 52649, 52650, 52651, 52652, 52653, 52654, 52914, 52917, 52918, 53178, 53179, 53180]"
32837,"[32313, 32314, 32316, 32317, 32573, 32574, 32575, 32835, 32836, 32838, 33103, 33104, 33108, 33375, 33376, 33645, 33646, 33647]"
39663,[]
39664,[]
35382,"[34562, 34563, 34564, 34834, 34835, 34836, 34837, 34838, 35106, 35107, 35109, 35110, 35111, 35112, 35380, 35381, 35382, 35383, 35384, 35385, 35654, 35657, 35658, 35926, 35928, 35929, 36197, 36198]"
61291,[]
40437,"[39862, 39863, 40148, 40149, 40436, 40731]"
55372,"[55370, 55748, 55924]"
10987,"[10455, 10623, 10625, 10626, 10797, 10798, 10800, 10803, 10984, 10985, 10988, 10990, 11185, 11186, 11187, 11188, 11189, 11190, 11191, 11390, 11391, 11392, 11393, 11394, 11597, 11598, 11599]"
61096,[61097]
39296,"[38460, 38462, 38729, 38731, 38732, 38733, 39298, 39299, 39583, 39862, 39863]"
54648,"[53973, 54646, 55064, 55266, 55267]"
54434,"[53725, 53972, 53973, 54206, 54646, 55064]"
21182,"[21426, 21427, 21663, 21664, 21665, 21666, 21667, 21905, 21906]"
55939,[55388]
5131,"[4809, 4811, 4917, 4919, 5023, 5024, 5028, 5130, 5132, 5133, 5134, 5236, 5237, 5239, 5240, 5342, 5343, 5445, 5446, 5447]"
38233,"[37452, 37710, 37714, 37974, 37975, 37976, 38230, 38232, 38233, 38235, 38236, 38496, 38497, 38501, 38502, 38767, 38771, 39050, 39052]"
8545,[]
2189,[2186]
3850,"[3477, 3478, 3479, 3601, 3602, 3603, 3604, 3730, 3852, 3853, 3972, 3974, 3975, 4093, 4094, 4095, 4213, 4214]"
28269,"[27595, 28268, 28270, 28727]"
46665,"[47253, 47549, 47550]"
10986,"[10455, 10622, 10623, 10625, 10626, 10796, 10797, 10798, 10800, 10984, 10985, 10988, 11184, 11185, 11186, 11187, 11188, 11189, 11190, 11390, 11391, 11392, 11393, 11596, 11597, 11598]"
36361,"[36093, 36094, 36363, 36364, 36898, 37163]"
59250,"[58936, 58937, 59040, 59041, 59145, 59147, 59148, 59251, 59252, 59253, 59354, 59356, 59357, 59358, 59459, 59460, 59461, 59564, 59565, 59566]"
21412,"[20925, 21409]"
56085,"[55553, 55555, 55736, 55909, 55911, 56256, 56257, 56424, 56425, 56592]"
32620,"[31859, 32366, 32623]"
61473,"[61391, 61392, 61511, 61512]"
59493,[59389]
59389,[59389]
59353,"[59145, 59245, 59246, 59251, 59350, 59351, 59354, 59356, 59455, 59457, 59459, 59460, 59461, 59563, 59564, 59565, 59667, 59668]"
59597,[59389]
61509,"[61388, 61389, 61427, 61511, 61512, 61576]"
6318,[]
6416,[]
6321,[]
6606,[]
6415,[]
6320,[]
6319,[]
6508,[]
6509,[]
6510,[]
6222,[]
6123,[]
6511,[]
6414,[]
6704,[]
6223,[]
6607,[]
4688,"[4333, 4450, 4452, 4566, 4567, 4569, 4570, 4571, 4572, 4685, 4686, 4687, 4688, 4689, 4802, 4803, 4804, 4805, 4806, 4807, 4808, 4911, 4912, 4913, 4914, 4915, 5019, 5020]"
46069,"[45772, 46066, 46070, 46362, 46363, 46659, 46660, 46955, 46956]"
36096,"[35280, 35554, 35555, 35556, 35826, 35827, 35828, 35829, 36093, 36094, 36095, 36096, 36097, 36099, 36363, 36364, 36637, 36638, 36904]"
27583,[27803]
1787,"[1643, 1644, 1645, 1712, 1715, 1716, 1784, 1785, 1787, 1788, 1860, 1861, 1862, 1863, 1864, 1939, 1940]"
38200,"[37679, 37943, 38202, 38463, 38464, 38468, 38734, 38736, 38738, 39019]"
37433,"[36904, 37169, 37170, 37171, 37695, 37696, 37697, 37955, 37956, 37957]"
35836,"[35017, 35018, 35289, 35291, 35293, 35561, 35563, 35565, 35837, 35838, 36105, 36106, 36374, 36375, 36646, 36647]"
37713,"[36920, 36921, 36922, 37188, 37189, 37452, 37453, 37454, 37710, 37714, 37715, 37716, 37974, 37975, 37976, 37977, 38232, 38233, 38235, 38236, 38501]"
4093,"[3852, 3972, 3974, 3975, 4093, 4094, 4095, 4096, 4213, 4214, 4216, 4330, 4333, 4450]"
8850,[]
8696,[]
10800,"[10287, 10288, 10455, 10622, 10623, 10625, 10626, 10628, 10797, 10798, 10800, 10803, 10984, 10985, 10988, 10990, 11186, 11187, 11188, 11189, 11190, 11391, 11392, 11393]"
38840,"[38043, 38044, 38045, 38302, 38304, 38305, 38306, 38567, 38568, 38569, 38570, 38571, 38572, 38573, 38837, 38838, 38839, 38841, 38842, 38843, 39119, 39120, 39121, 39123, 39403, 39404, 39405, 39407, 39689, 39690]"
11187,"[10623, 10625, 10797, 10798, 10800, 10984, 10985, 10988, 11184, 11185, 11186, 11187, 11188, 11189, 11190, 11388, 11390, 11391, 11392, 11393, 11394, 11595, 11596, 11597, 11598, 11599, 11803, 11804, 11805]"
32362,[31859]
10454,"[10125, 10287, 10288, 10289, 10452, 10455, 10621, 10622, 10623, 10625, 10626, 10797, 10798, 10800, 10985]"
35922,"[35103, 35647, 35648, 35649, 35650, 35919, 35920, 35921, 36193, 36194, 36195, 36464, 36732]"
61507,"[61388, 61427, 61539]"
4214,"[3852, 3972, 3974, 3975, 4093, 4094, 4095, 4096, 4213, 4214, 4216, 4330, 4333, 4335, 4450, 4452, 4453, 4569, 4570, 4571]"
4094,"[3852, 3853, 3972, 3974, 3975, 4093, 4094, 4095, 4096, 4213, 4214, 4216, 4333, 4335, 4450, 4452]"
61514,"[61511, 61512, 61552]"
46369,[46070]
61506,"[61424, 61427, 61539]"
10447,[10449]
60082,[]
52390,"[51568, 51569, 51844, 51847, 51848, 52117, 52119, 52121, 52122, 52123, 52387, 52388, 52389, 52391, 52392, 52393, 52653, 52654, 52659, 52918]"
59460,"[59145, 59251, 59252, 59354, 59356, 59357, 59358, 59457, 59459, 59460, 59461, 59463, 59563, 59564, 59565, 59566, 59567, 59568, 59668, 59670, 59671, 59769, 59770, 59771]"
10804,"[10291, 10460, 10461, 10626, 10628, 10629, 10630, 10631, 10632, 10803, 10804, 10805, 10806, 10807, 10988, 10990, 10992, 10993, 11190, 11191, 11192, 11194, 11395, 11396, 11397]"
56106,[]
39940,"[39370, 39937]"
18790,"[18062, 18063, 18301, 18302, 18303, 18304, 18305, 18545, 18546, 18547, 18548, 18790, 19035, 19036, 19280, 19281, 19526]"
35924,"[35106, 35107, 35380, 35381, 35649, 35650, 35654, 35921, 35926, 36193, 36194, 36195, 36197, 36464, 36465, 36466]"
38839,"[38042, 38043, 38044, 38301, 38302, 38304, 38305, 38567, 38568, 38569, 38570, 38571, 38572, 38836, 38837, 38838, 38839, 38841, 38842, 39118, 39119, 39120, 39121, 39123, 39403, 39404, 39405, 39689]"
45493,"[44625, 44913, 44914, 44915, 44916, 45205, 45206, 45493, 45494, 45495, 45785, 45786, 45789, 46081, 46082, 46375, 46377]"
4947,"[4602, 4604, 4720, 4721, 4722, 4837, 4840, 4842, 4944, 4945, 4947, 4948, 4950, 5051, 5053, 5054, 5055, 5056, 5158, 5159, 5160, 5161, 5266, 5267]"
59461,"[59145, 59147, 59251, 59252, 59253, 59354, 59356, 59357, 59358, 59359, 59459, 59460, 59461, 59463, 59464, 59563, 59564, 59565, 59566, 59567, 59568, 59670, 59671, 59770, 59771, 59772]"
12987,"[12312, 12313, 12314, 12534, 12535, 12536, 12537, 12538, 12758, 12759, 12760, 12761, 12762, 12764, 12984, 12985, 12986, 12987, 12988, 12990, 13216, 13217, 13219]"
57661,"[57426, 57427, 57429, 57548, 57549, 57550, 57551, 57658, 57659]"
36631,"[36093, 36363, 36364, 36898, 37163]"
36898,"[36363, 36898, 37161, 37163]"
38467,"[37679, 37943, 38202, 38204, 38464, 38468, 38470, 38734, 38736, 38738, 38739, 39019, 39021]"
37185,"[36381, 36383, 36651, 36652, 36653, 36654, 36917, 36920, 36921, 36922, 37188, 37448, 37452, 37453, 37709, 37710]"
36640,"[35829, 35830, 36099, 36100, 36101, 36637, 36638, 36639, 36640, 36904, 36906, 36907, 36908, 37171, 37173, 37174, 37437, 37439]"
26065,"[25470, 26067]"
35834,"[35015, 35016, 35017, 35287, 35289, 35291, 35560, 35561, 35563, 35565, 35837, 36101, 36105, 36106, 36374, 36375, 36644]"
35835,"[35016, 35017, 35018, 35289, 35291, 35560, 35561, 35563, 35565, 35837, 35838, 36105, 36106, 36374, 36375, 36644, 36646]"
57990,"[58095, 58203, 58204, 58313]"
35107,"[34559, 34560, 34561, 34562, 34563, 34831, 34832, 34833, 34834, 34835, 34836, 34837, 35106, 35107, 35109, 35110, 35380, 35381, 35382, 35383, 35654, 35926]"
58206,"[58203, 58204, 58312, 58313]"
57204,"[56756, 56757, 56913, 56914, 57060, 57062, 57063, 57203, 57341, 57342, 57343, 57476]"
9602,[]
61575,"[61511, 61512, 61576, 61603, 61604]"
36095,"[35280, 35554, 35555, 35826, 35827, 35828, 36093, 36094, 36095, 36096, 36097, 36363, 36364, 36637]"
45774,"[45189, 45478, 45479, 45772, 46066, 46070, 46362, 46363, 46659, 46660]"
45481,"[45189, 45478, 45479, 45772, 46066, 46070, 46363]"
30858,"[30133, 30857, 31097, 31343, 31591]"
36970,"[36434, 36435]"
46922,[47214]
4540,"[4301, 4657]"
37711,"[36920, 37448, 37452, 37453, 37709, 37710, 37714, 37969, 37974, 37975, 38230, 38232, 38233, 38497]"
26358,[]
42273,"[41395, 41396, 41688, 41690, 41979, 41980, 41981, 41982, 41983, 42272, 42273, 42275, 42566, 42567, 42569, 42570, 42571, 42863, 42864, 42865, 42866, 43156, 43157, 43158]"
35923,"[35106, 35380, 35648, 35649, 35650, 35654, 35920, 35921, 35926, 36193, 36194, 36195, 36464, 36465, 36732]"
57205,"[56756, 56757, 56758, 56914, 57062, 57063, 57203, 57342, 57343, 57476]"
39662,[]
37434,"[36637, 36904, 37169, 37170, 37171, 37437, 37695, 37696, 37697, 37698, 37955, 37956, 37957, 37958]"
4844,"[4488, 4489, 4490, 4607, 4608, 4609, 4610, 4725, 4729, 4730, 4842, 4843, 4844, 4845, 4846, 4950, 4951, 4953, 4954, 4955, 5058, 5060, 5061, 5165, 5166]"
37452,"[36653, 36654, 36655, 36920, 36921, 36922, 36923, 37188, 37189, 37452, 37453, 37454, 37710, 37714, 37715, 37716, 37974, 37975, 37976, 38233, 38235]"
58277,"[57952, 57954, 58060, 58061, 58062, 58064, 58167, 58168, 58170, 58171, 58173, 58274, 58276, 58277, 58278, 58279, 58280, 58383, 58384, 58386, 58388, 58389, 58493, 58494, 58495, 58496, 58497, 58606]"
59494,[59389]
2373,[2480]
2375,[2480]
1449,[]
32885,[32623]
35058,"[34782, 35056, 35328, 35329, 35602, 35876]"
21742,"[21016, 21017, 21258, 21259, 21260, 21741, 21981, 21986, 22223, 22224, 22225, 22226]"
12983,"[12308, 12309, 12310, 12530, 12532, 12533, 12534, 12754, 12755, 12756, 12758, 12759, 12760, 12980, 12981, 12982, 12983, 12984, 12985, 12986, 13210, 13211, 13212, 13216, 13441, 13442, 13444, 13670]"
8532,[]
47863,"[46977, 46978, 47271, 47272, 47273, 47274, 47275, 47565, 47566, 47568, 47569, 47571, 47861, 47862, 47865, 48147, 48148, 48149, 48152, 48153, 48432, 48433, 48434, 48436, 48715, 48716]"
57664,"[57429, 57550, 57551]"
9364,"[9055, 9057, 9058, 9059, 9212, 9213, 9365, 9366, 9367, 9514, 9518, 9519, 9670, 9671, 9672, 9828, 9829]"
36263,"[35447, 35448, 35449, 35720, 35721, 35722, 35723, 35990, 35991, 35992, 35994, 35995, 35996, 36266, 36530, 36531, 36533, 36534, 36535, 36536, 36801, 36802, 36803, 36804, 36805, 37069, 37071]"
10458,"[10125, 10129, 10287, 10288, 10289, 10291, 10455, 10460, 10461, 10625, 10626, 10628, 10629, 10630, 10631, 10803, 10804, 10805, 10990]"
45377,"[44797, 45084, 45374, 45376, 45667, 45669, 45963, 46259]"
58309,"[58095, 58201, 58203, 58312]"
9359,"[8896, 9051, 9054, 9205, 9206, 9207, 9358, 9359, 9360, 9510, 9511, 9513, 9514, 9663, 9664, 9665, 9667, 9822, 9823, 9824]"
57988,"[58095, 58201, 58203, 58204, 58312, 58313]"
45671,"[45376, 45669, 45963, 46259]"
33428,"[32623, 32889]"
35656,"[34836, 34837, 34838, 35109, 35110, 35111, 35112, 35380, 35381, 35382, 35383, 35384, 35385, 35386, 35654, 35657, 35658, 35659, 35926, 35928, 35929, 35930, 35931, 36197, 36198, 36468, 36469]"
47698,[]
48562,[]
51938,[]
50253,[]
46815,[]
51102,[]
45931,[]
49405,[]
38841,"[38044, 38045, 38046, 38304, 38305, 38306, 38307, 38568, 38569, 38570, 38571, 38572, 38573, 38574, 38838, 38839, 38841, 38842, 38843, 38844, 39120, 39121, 39123, 39126, 39404, 39405, 39407, 39408, 39689, 39690, 39691]"
45670,"[44797, 45374, 45376, 45667, 45669, 45961, 45963, 46258, 46259]"
47256,"[46964, 47253, 47258, 47548, 47549, 47550, 47844, 47845, 47846, 48133, 48134]"
4452,"[4094, 4095, 4096, 4213, 4214, 4216, 4333, 4335, 4450, 4452, 4453, 4455, 4569, 4570, 4571, 4572, 4573, 4574, 4688, 4689, 4806, 4807, 4808]"
56425,"[55911, 56256, 56257, 56423, 56424, 56425, 56590, 56592, 56753, 56754, 56756, 56757, 56913, 56914]"
12312,"[11675, 11676, 11677, 11881, 11882, 11883, 11884, 11885, 12091, 12092, 12093, 12094, 12095, 12096, 12309, 12310, 12311, 12312, 12313, 12314, 12315, 12532, 12533, 12534, 12535, 12536, 12537, 12538, 12758, 12759, 12760, 12761, 12762, 12985, 12986, 12987]"
59195,"[58881, 58983, 58984, 58986, 59091, 59093]"
10799,"[10287, 10452, 10455, 10621, 10622, 10623, 10625, 10626, 10796, 10797, 10798, 10800, 10984, 10985, 10988, 11185, 11186, 11187, 11188, 11189, 11390, 11391, 11392]"
33966,[]
38738,"[37943, 38202, 38204, 38468, 38470, 38736, 38738, 38739, 38741, 39019, 39021]"
1646,"[1643, 1644, 1645, 1649, 1712, 1715, 1716, 1718, 1787, 1788, 1863, 1864]"
35379,"[34559, 34560, 34561, 34831, 34832, 34833, 34834, 34835, 35103, 35106, 35107, 35109, 35380, 35381, 35382, 35649, 35650, 35654, 35926, 36193, 36194, 36195]"
21420,"[21663, 21664, 21904, 22142, 22143, 22144]"
21661,"[21663, 21664, 21904, 21905, 22142, 22143, 22144, 22145, 22383, 22384, 22385]"
57987,"[57659, 58095, 58201, 58203, 58204, 58312]"
10625,"[10125, 10287, 10288, 10289, 10452, 10455, 10622, 10623, 10625, 10626, 10628, 10797, 10798, 10800, 10803, 10985, 10988, 11187, 11188, 11189]"
46959,"[46956, 47251, 47252, 47253, 47548, 47549, 47550, 47843, 47844, 47845]"
10448,"[10449, 10621]"
10280,[10449]
10279,[10449]
35838,"[35020, 35021, 35291, 35293, 35294, 35563, 35565, 35568, 35837, 35838, 36105, 36106, 36111, 36379, 36647, 36648, 36649]"
61061,[61097]
36533,"[35720, 35721, 35722, 35991, 35992, 35994, 35995, 36266, 36530, 36531, 36533, 36534, 36535, 36536, 36800, 36801, 36802, 36803, 36804, 36805, 36806, 37069, 37071, 37072, 37335, 37336, 37337]"
37206,"[36402, 36404, 36671, 36672, 36673, 36937, 36939, 36940, 36942, 37208, 37209, 37468, 37469, 37470, 37471, 37472, 37473, 37731, 37733, 37992, 37993, 37994]"
12763,"[12096, 12098, 12313, 12314, 12315, 12317, 12535, 12536, 12537, 12538, 12539, 12541, 12760, 12761, 12762, 12764, 12765, 12766, 12986, 12987, 12988, 12990, 13217, 13219]"
20194,[]
9210,"[8899, 8900, 9054, 9055, 9057, 9058, 9059, 9207, 9212, 9213, 9360, 9365, 9366, 9514, 9518, 9670]"
2372,[2480]
16470,"[15804, 16024, 16025, 16026, 16244, 16246, 16248, 16249, 16467, 16468, 16471, 16472, 16695, 16696, 16697, 16699, 16700, 16701, 16928, 16929, 17156, 17158]"
35655,"[34835, 34836, 34837, 35107, 35109, 35110, 35111, 35380, 35381, 35382, 35383, 35384, 35385, 35654, 35657, 35658, 35926, 35928, 35929, 35930, 36195, 36197, 36198, 36466, 36468]"
46334,[]
34523,"[34253, 34525, 34526, 34798]"
34796,"[34525, 34526, 34798, 35072]"
56617,[]
56782,[57229]
16564,"[15890, 15891, 16110, 16111, 16114, 16333, 16334, 16335, 16336, 16337, 16338, 16339, 16561, 16562, 16563, 16564, 16565, 16566, 16567, 16791, 16792, 16793, 16794, 16795, 16796, 17021, 17022, 17023, 17024, 17253, 17254, 17255]"
33972,[]
34795,"[34525, 34798]"
40147,"[39862, 39863, 40148, 40149, 40436]"
39377,[]
35050,"[34504, 34774, 35047, 35048, 35049, 35050, 35320, 35321, 35322, 35323, 35594, 35595, 35596, 35597, 35598, 35867, 35868, 35869]"
4213,"[3972, 3974, 4093, 4094, 4095, 4096, 4213, 4214, 4216, 4329, 4330, 4333, 4335, 4450, 4452, 4569, 4570]"
1381,[1175]
3942,"[4061, 4062]"
30674,"[29950, 29951, 30430, 30431, 30433, 30435, 30672, 30673, 30677, 30913, 30914, 30917, 30919, 31403]"
33427,"[32623, 32889]"
7016,"[6723, 6817, 6818, 6821, 6914, 6915, 6919, 7013, 7017, 7018, 7221, 7222, 7331]"
9982,"[9510, 9511, 9662, 9663, 9664, 9665, 9820, 9821, 9822, 9823, 9824, 9825, 9980, 9981, 9982, 9984, 10139, 10140, 10141, 10142, 10303, 10307, 10472, 10473]"
37235,[]
35343,"[34525, 34798, 35072, 35346]"
59458,"[59246, 59350, 59351, 59354, 59356, 59455, 59457, 59459, 59460, 59461, 59560, 59563, 59564, 59565, 59566, 59666, 59667, 59668, 59670, 59768, 59769]"
58096,"[58095, 58201, 58203, 58204, 58312, 58313]"
36104,"[35289, 35560, 35561, 35563, 35837, 36101, 36105, 36106, 36374, 36375, 36644, 36646]"
56084,"[55553, 55734, 55736, 55909, 55911, 56081, 56256, 56257, 56423, 56424, 56425, 56590, 56592]"
26160,[]
58202,"[58095, 58201, 58203, 58204, 58312, 58313]"
58385,"[58060, 58061, 58062, 58167, 58168, 58170, 58171, 58273, 58274, 58276, 58277, 58278, 58279, 58382, 58383, 58384, 58386, 58388, 58491, 58492, 58493, 58494, 58495, 58496, 58497, 58602, 58603, 58606, 58713]"
58074,"[57962, 57963, 57965, 58071, 58072, 58074, 58075, 58076, 58077, 58180, 58181, 58182, 58184, 58185, 58287, 58288, 58289, 58290, 58291, 58397, 58398]"
21741,"[21016, 21258, 21259, 21260, 21497, 21741, 21981, 22223, 22224, 22225]"
59145,"[58826, 58934, 58936, 58937, 59040, 59041, 59043, 59145, 59147, 59148, 59251, 59252, 59253, 59354, 59356, 59357, 59459, 59460, 59461]"
33649,"[32841, 33108, 33110, 33111, 33376, 33379, 33380, 33382, 33646, 33647, 33648, 33649, 33651, 33918, 33919, 34190, 34191, 34193, 34466]"
18737,[]
1522,[]
35380,"[34560, 34561, 34562, 34832, 34833, 34834, 34835, 34836, 35106, 35107, 35109, 35110, 35380, 35381, 35382, 35383, 35650, 35654, 35926, 36194, 36195]"
10624,"[10287, 10288, 10452, 10455, 10621, 10622, 10623, 10625, 10626, 10796, 10797, 10798, 10800, 10984, 10985, 10988, 11186, 11187, 11188]"
25270,"[24666, 24667, 25070, 25470]"
13216,"[12534, 12535, 12536, 12758, 12759, 12760, 12761, 12762, 12983, 12984, 12985, 12986, 12987, 12988, 13216, 13217, 13219, 13444]"
46070,"[46070, 46363, 46660, 46956]"
39060,"[38506, 38509, 38510, 38775, 38777, 38779, 38780, 38781, 39057, 39058, 39059, 39060, 39061, 39062, 39063, 39340, 39341, 39342, 39345, 39625, 39626]"
26557,[26759]
43752,[44328]
2956,[]
2831,[]
2832,[]
2833,[]
2957,[]
5128,"[4806, 4807, 4808, 4913, 4914, 4915, 4917, 5019, 5020, 5023, 5024, 5126, 5130, 5231, 5232, 5236, 5237, 5337]"
36362,"[36093, 36094, 36095, 36363, 36364, 36898]"
37207,"[36404, 36405, 36672, 36673, 36676, 36939, 36940, 36942, 37208, 37209, 37210, 37469, 37470, 37471, 37472, 37473, 37475, 37731, 37733, 37993, 37994, 37995]"
10985,"[10452, 10621, 10622, 10623, 10625, 10796, 10797, 10798, 10800, 10982, 10984, 10985, 10988, 11183, 11184, 11185, 11186, 11187, 11188, 11189, 11388, 11390, 11391, 11392, 11595, 11596, 11597]"
9983,"[9511, 9513, 9663, 9664, 9665, 9667, 9820, 9821, 9822, 9823, 9824, 9825, 9980, 9981, 9982, 9984, 10140, 10141, 10142, 10146, 10307, 10473, 10475]"
1382,"[1175, 1176]"
48150,"[47272, 47273, 47274, 47566, 47568, 47569, 47861, 47862, 47865, 48147, 48148, 48149, 48152, 48153, 48431, 48432, 48433, 48434, 48436, 48437, 48714, 48715, 48716, 48718, 48997]"
55357,"[54740, 54741, 54947, 54948, 54949, 55152, 55153, 55156, 55354, 55356, 55358, 55359, 55550, 55553, 55734, 55736, 55909]"
4332,"[3972, 4093, 4094, 4095, 4213, 4214, 4216, 4329, 4330, 4333, 4335, 4447, 4450, 4452, 4453, 4567, 4569, 4570, 4571, 4687, 4688, 4689]"
32574,"[31811, 31812, 31813, 32063, 32064, 32065, 32314, 32316, 32317, 32319, 32320, 32573, 32574, 32575, 32576, 32836, 32838, 32841, 33108, 33110, 33379]"
37435,"[36637, 36638, 36904, 36906, 37169, 37170, 37171, 37173, 37437, 37695, 37696, 37697, 37698, 37699, 37955, 37956, 37957, 37958, 37959]"
48121,"[47243, 47244, 47245, 47537, 47538, 47539, 47540, 47832, 47833, 47834, 47835, 47836, 48118, 48120, 48121, 48122, 48123, 48403, 48405, 48408, 48687, 48689, 48968, 48969]"
30616,"[30133, 30857]"
35106,"[34559, 34560, 34561, 34562, 34831, 34832, 34833, 34834, 34835, 34836, 35103, 35106, 35107, 35109, 35380, 35381, 35382, 35650, 35654]"
57991,[58204]
56595,"[56261, 56431, 56592, 56756, 56757, 56758, 56761, 56920]"
33159,"[32623, 32627, 32889, 32893]"
1520,[]
46035,"[45158, 45446, 45738, 46033, 46328]"
52116,"[51284, 51285, 51286, 51562, 51564, 51565, 51566, 51839, 51840, 51841, 51842, 51844, 52113, 52116, 52117, 52119, 52383, 52384, 52385, 52386, 52387, 52388, 52389, 52650, 52651, 52652, 52653, 52654, 52917]"
46370,[]
37694,"[37169, 37170, 37695, 37696, 37697, 37955, 37956, 37957, 37958, 38482]"
25161,[24759]
25360,[24759]
25559,[]
21663,"[21663, 21664, 21665, 21666, 21904, 21905, 21906, 22143, 22144, 22145, 22146, 22385, 22386, 22387]"
20451,[]
39861,"[39009, 39862, 39863, 40148, 40149, 40436]"
10449,"[10449, 10452, 10621, 10622, 10796, 10982]"
24961,"[24555, 24759]"
57206,"[56757, 56758, 57062, 57063, 57203, 57343]"
61508,"[61388, 61389, 61427, 61511]"
35605,"[35329, 35602, 35876, 36147]"
10740,"[10239, 10240, 10402, 10573, 10740, 10741, 10742, 10743, 10914, 10917, 10918, 11100, 11101, 11102, 11103, 11304]"
61476,"[61359, 61398, 61439, 61552, 61582]"
61475,"[61512, 61552]"
45072,"[44494, 44783]"
44783,"[43915, 43917, 44207, 44494, 44497, 44783]"
12761,"[12094, 12095, 12096, 12311, 12312, 12313, 12314, 12315, 12533, 12534, 12535, 12536, 12537, 12538, 12539, 12758, 12759, 12760, 12761, 12762, 12764, 12984, 12985, 12986, 12987, 12988, 12990, 13216, 13217, 13219]"
23950,"[23523, 23524, 23525, 23740, 24152]"
48434,"[47568, 47569, 47861, 47862, 47865, 48147, 48148, 48149, 48152, 48153, 48431, 48432, 48433, 48434, 48436, 48437, 48714, 48715, 48716, 48718, 48719, 48997, 49279]"
48405,"[47538, 47539, 47540, 47832, 47833, 47834, 47835, 47836, 48118, 48120, 48121, 48122, 48123, 48403, 48405, 48408, 48687, 48689, 48690, 48968, 48969, 49250, 49251]"
38750,"[37955, 38482, 38483, 38750, 38751, 38752, 39031, 39032, 39034, 39035, 39315, 39316, 39317, 39599, 39600]"
39860,"[39009, 39862, 39863, 40148, 40149, 40436]"
4951,"[4607, 4608, 4725, 4840, 4842, 4843, 4844, 4845, 4846, 4948, 4950, 4951, 4953, 4954, 5055, 5056, 5058, 5060, 5061, 5165, 5166, 5270]"
45743,[45158]
29464,"[28778, 29003, 29006, 29229, 29233, 29235, 29463, 29465, 29466, 29467, 29705, 29706, 29708, 29709, 29710, 29711, 29949, 29950, 29951, 29953]"
37957,"[37169, 37170, 37171, 37437, 37695, 37696, 37697, 37698, 37699, 37955, 37956, 37957, 37958, 37959, 38219, 38220, 38482, 38483, 38484, 38485, 38752, 38754]"
4840,"[4484, 4485, 4602, 4604, 4605, 4720, 4721, 4722, 4725, 4837, 4840, 4842, 4843, 4945, 4947, 4948, 4950, 4951, 5053, 5054, 5055, 5056, 5160, 5161]"
19470,[19720]
15729,[15953]
42584,"[41996, 42286, 42287, 42292, 42581, 42582, 42877]"
9208,"[8899, 8900, 9051, 9054, 9055, 9057, 9205, 9206, 9207, 9358, 9359, 9360, 9513, 9514, 9667]"
58097,"[58095, 58201, 58203, 58204, 58312, 58313]"
61213,[61097]
33650,"[32841, 33108, 33110, 33111, 33379, 33380, 33382, 33383, 33647, 33648, 33649, 33651, 33918, 33919, 34191, 34193, 34195, 34466]"
38842,"[38045, 38046, 38047, 38304, 38305, 38306, 38307, 38308, 38569, 38570, 38571, 38572, 38573, 38574, 38575, 38839, 38841, 38842, 38843, 38844, 38845, 39121, 39123, 39126, 39127, 39405, 39407, 39408, 39409, 39690, 39691, 39692]"
9361,"[8899, 8900, 9054, 9055, 9205, 9206, 9207, 9358, 9359, 9360, 9511, 9513, 9514, 9665, 9667, 9824, 9825]"
20207,[]
20206,[]
61025,[61097]
10623,"[10287, 10452, 10455, 10621, 10622, 10623, 10625, 10626, 10796, 10797, 10798, 10800, 10984, 10985, 11185, 11186, 11187]"
48151,"[47273, 47274, 47275, 47568, 47569, 47571, 47861, 47862, 47865, 47867, 48148, 48149, 48152, 48153, 48154, 48432, 48433, 48434, 48436, 48437, 48715, 48716, 48718, 48719, 48997]"
58315,"[58203, 58204, 58312, 58313]"
4370,"[4010, 4011, 4129, 4130, 4131, 4133, 4249, 4250, 4251, 4253, 4254, 4367, 4368, 4370, 4371, 4372, 4373, 4485, 4487, 4488, 4489, 4490, 4491, 4605, 4607, 4608, 4609, 4725]"
5106,"[4773, 4892, 4999, 5209]"
2478,[2480]
2477,[2480]
61533,"[61500, 61501]"
61498,"[61500, 61501]"
58493,"[58167, 58168, 58273, 58274, 58276, 58277, 58381, 58382, 58383, 58384, 58386, 58491, 58492, 58493, 58494, 58495, 58496, 58600, 58601, 58602, 58603, 58606, 58712, 58713, 58823]"
21905,"[21663, 21664, 21665, 21666, 21667, 21904, 21905, 21906, 22143, 22144, 22145, 22146, 22385, 22386, 22387, 22627, 22628]"
5212,"[4892, 4999, 5209, 5315]"
5318,"[4999, 5209, 5315]"
